0.687 ± 0.024,67.963 ± 2.222
0.707 ± 0.017,70.384 ± 2.273
0.696 ± 0.029,69.251 ± 3.034
0.688 ± 0.033,67.502 ± 3.528
0.694 ± 0.027,68.453 ± 3.181
0.693 ± 0.025,68.598 ± 2.379
0.688 ± 0.027,68.329 ± 2.870
0.714 ± 0.028,70.941 ± 3.224
0.708 ± 0.027,69.952 ± 2.864
0.694 ± 0.025,68.818 ± 2.970
0.711 ± 0.021,70.999 ± 1.966
0.714 ± 0.015,70.797 ± 1.944
0.709 ± 0.015,70.394 ± 2.101
0.645 ± 0.028,63.958 ± 3.204
0.677 ± 0.022,67.368 ± 2.465
0.682 ± 0.020,68.165 ± 2.180
0.659 ± 0.060,65.264 ± 5.752
0.699 ± 0.014,69.529 ± 1.582
0.707 ± 0.009,70.528 ± 1.803
0.667 ± 0.020,66.158 ± 2.588
0.671 ± 0.015,66.993 ± 2.010
0.673 ± 0.015,66.801 ± 3.506
0.694 ± 0.016,68.972 ± 2.146
0.701 ± 0.014,69.635 ± 2.368
0.700 ± 0.016,69.616 ± 1.899
0.670 ± 0.012,66.523 ± 2.120
0.672 ± 0.015,66.619 ± 2.284
0.676 ± 0.015,66.945 ± 2.701
0.701 ± 0.021,69.616 ± 2.331
0.700 ± 0.018,69.414 ± 2.123
0.703 ± 0.013,69.885 ± 1.975
0.675 ± 0.012,67.205 ± 1.695
0.681 ± 0.006,67.646 ± 2.009
0.683 ± 0.012,67.762 ± 1.832
0.699 ± 0.015,69.318 ± 2.201
0.703 ± 0.009,69.606 ± 2.041
0.700 ± 0.010,68.972 ± 1.954
0.565 ± 0.029,56.254 ± 3.232
0.582 ± 0.053,58.012 ± 5.202
0.675 ± 0.038,66.974 ± 4.910
0.553 ± 0.060,55.303 ± 6.057
0.576 ± 0.105,57.618 ± 10.303
0.593 ± 0.066,59.347 ± 5.725
0.622 ± 0.038,62.075 ± 4.001
0.642 ± 0.042,63.410 ± 4.912
0.697 ± 0.020,69.481 ± 1.941
0.606 ± 0.027,60.423 ± 3.755
0.655 ± 0.064,65.408 ± 6.367
0.644 ± 0.043,64.352 ± 4.722
0.702 ± 0.030,69.933 ± 2.618
0.703 ± 0.017,70.221 ± 1.847
0.703 ± 0.013,70.279 ± 2.016
