0.719 ± 0.015,72.478 ± 1.897
0.761 ± 0.017,76.908 ± 1.131
0.758 ± 0.016,76.404 ± 1.186
0.749 ± 0.015,75.987 ± 1.402
0.767 ± 0.016,78.202 ± 0.614
0.763 ± 0.015,77.105 ± 1.062
0.755 ± 0.016,76.447 ± 0.652
0.640 ± 0.030,64.978 ± 4.464
0.642 ± 0.022,64.539 ± 3.270
0.637 ± 0.020,64.693 ± 3.642
0.635 ± 0.051,64.934 ± 4.797
0.640 ± 0.053,64.386 ± 6.115
0.638 ± 0.037,64.254 ± 3.672
0.688 ± 0.020,69.561 ± 2.835
0.681 ± 0.025,69.101 ± 2.269
0.668 ± 0.018,68.114 ± 3.142
0.688 ± 0.049,69.452 ± 5.278
0.672 ± 0.037,67.763 ± 4.195
0.652 ± 0.025,66.206 ± 4.028
0.727 ± 0.012,73.509 ± 2.506
0.726 ± 0.018,73.531 ± 2.224
0.710 ± 0.017,71.404 ± 2.122
0.732 ± 0.017,73.531 ± 2.681
0.719 ± 0.012,72.785 ± 2.855
0.705 ± 0.013,70.877 ± 2.026
0.742 ± 0.013,75.570 ± 1.576
0.733 ± 0.017,74.759 ± 1.146
0.727 ± 0.014,73.947 ± 1.983
0.760 ± 0.016,77.149 ± 0.699
0.750 ± 0.017,76.140 ± 0.831
0.742 ± 0.014,75.285 ± 1.057
0.649 ± 0.019,66.184 ± 3.725
0.652 ± 0.028,65.855 ± 3.548
0.643 ± 0.019,65.285 ± 3.152
0.675 ± 0.040,68.333 ± 4.487
0.671 ± 0.043,67.807 ± 4.542
0.655 ± 0.031,66.096 ± 3.338
0.707 ± 0.022,71.513 ± 2.577
0.696 ± 0.025,70.175 ± 3.559
0.686 ± 0.014,69.189 ± 1.879
0.696 ± 0.030,70.833 ± 3.284
0.685 ± 0.036,69.189 ± 3.469
0.666 ± 0.024,67.303 ± 3.329
