0.856 ± 0.054,86.216 ± 4.751
0.856 ± 0.054,84.865 ± 5.822
0.847 ± 0.049,84.054 ± 5.331
0.849 ± 0.066,83.514 ± 4.902
0.836 ± 0.061,84.595 ± 6.626
0.858 ± 0.052,84.865 ± 5.946
0.863 ± 0.042,84.865 ± 5.822
0.849 ± 0.051,85.405 ± 5.822
0.856 ± 0.049,84.865 ± 5.822
0.847 ± 0.050,84.865 ± 5.822
0.837 ± 0.056,84.054 ± 5.977
0.866 ± 0.043,85.676 ± 4.366
0.866 ± 0.055,85.405 ± 5.156
0.849 ± 0.060,83.784 ± 6.043
0.849 ± 0.054,83.784 ± 5.921
0.837 ± 0.055,84.865 ± 5.822
0.846 ± 0.056,83.784 ± 6.281
0.861 ± 0.061,86.216 ± 4.751
0.854 ± 0.060,84.595 ± 6.049
0.854 ± 0.064,83.784 ± 6.043
0.853 ± 0.046,84.595 ± 6.049
0.832 ± 0.065,84.054 ± 4.751
0.841 ± 0.053,84.324 ± 5.099
0.869 ± 0.055,85.405 ± 5.296
0.847 ± 0.062,86.757 ± 6.778
0.853 ± 0.053,85.135 ± 6.424
0.844 ± 0.052,85.676 ± 6.735
0.837 ± 0.053,84.054 ± 6.333
0.834 ± 0.061,84.324 ± 5.378
0.863 ± 0.044,86.216 ± 7.592
0.858 ± 0.054,86.216 ± 6.778
0.858 ± 0.054,84.324 ± 6.922
0.844 ± 0.048,86.216 ± 5.977
0.842 ± 0.058,85.405 ± 5.013
0.842 ± 0.051,83.784 ± 5.405
0.864 ± 0.051,86.216 ± 5.466
0.856 ± 0.050,85.676 ± 6.735
0.864 ± 0.057,84.324 ± 6.019
0.842 ± 0.058,85.135 ± 5.952
0.844 ± 0.051,85.405 ± 5.156
0.841 ± 0.052,84.324 ± 5.099
0.863 ± 0.054,85.405 ± 6.187
0.858 ± 0.053,84.865 ± 5.156
0.856 ± 0.046,84.595 ± 4.842
0.849 ± 0.049,85.135 ± 5.572
0.847 ± 0.053,85.676 ± 6.049
0.837 ± 0.048,84.324 ± 5.643
0.864 ± 0.052,85.676 ± 4.842
0.859 ± 0.062,85.676 ± 4.991
0.854 ± 0.050,85.135 ± 6.864
0.854 ± 0.050,85.946 ± 6.257
0.844 ± 0.056,84.595 ± 4.689
0.841 ± 0.060,83.784 ± 5.669
0.866 ± 0.051,83.514 ± 6.559
0.861 ± 0.041,84.865 ± 6.304
0.868 ± 0.042,86.486 ± 6.837
0.847 ± 0.052,83.784 ± 4.984
0.844 ± 0.050,84.324 ± 5.378
0.836 ± 0.050,84.595 ± 5.412
