0.824 ± 0.077,81.622 ± 11.581
0.820 ± 0.068,81.622 ± 10.932
0.810 ± 0.074,80.811 ± 10.637
0.802 ± 0.076,79.189 ± 11.277
0.846 ± 0.076,84.595 ± 8.378
0.841 ± 0.075,84.054 ± 9.475
0.839 ± 0.066,83.243 ± 8.948
0.834 ± 0.073,84.054 ± 10.217
0.819 ± 0.074,82.703 ± 10.199
0.819 ± 0.067,82.432 ± 7.856
0.832 ± 0.070,82.703 ± 9.141
0.817 ± 0.076,81.622 ± 8.444
0.837 ± 0.066,83.784 ± 5.128
0.822 ± 0.076,81.892 ± 9.748
0.805 ± 0.079,80.541 ± 7.720
0.817 ± 0.069,80.541 ± 8.180
0.805 ± 0.086,81.081 ± 9.362
0.819 ± 0.093,81.892 ± 7.838
0.820 ± 0.090,81.892 ± 5.803
0.802 ± 0.077,78.919 ± 8.699
0.805 ± 0.076,77.838 ± 4.954
0.798 ± 0.064,80.000 ± 7.470
0.785 ± 0.089,80.811 ± 12.353
0.805 ± 0.066,81.892 ± 9.597
0.805 ± 0.087,79.730 ± 11.981
0.820 ± 0.066,81.622 ± 10.932
0.792 ± 0.065,79.459 ± 10.551
0.802 ± 0.075,79.189 ± 10.814
0.824 ± 0.072,80.811 ± 7.397
0.832 ± 0.058,82.703 ± 8.478
0.810 ± 0.050,81.892 ± 6.515
0.817 ± 0.070,80.811 ± 9.703
0.815 ± 0.062,78.919 ± 7.027
0.819 ± 0.066,81.622 ± 7.332
